name_sport,location_sport,dcode,stdcode,type_sport,area_sm,data_perf,ownership,chairman,detail,num_users,sum_month,sum_year,remark
โรงเรียนประชาภิบาล,ถ.พหลโยธิน แขวงอนุสาวรีย์ โทร 025210424,1005,C,2,400,มีการจัดกิจกรรมฟุตบอล และสนามเด็กเล่น,กทม.,นางสาวโชตศิกาญจน์ ยุติธรรมนนท์,"ฟุตบอล,บาสเก็ตบอล,วอลเล่ย์บอล,แบดมินตัน,แอโรบิค,กายบริหาร,เกมส์,สนามเด็กเล่น,ปิงปอง",0,6,2564,ทางโรงเรียนไม่เปิดให้บุคคลภายนอกเข้าใช้บริการเพื่อป้องกันการแพร่ระบาดของโรคติดเชื้อไวรัสโควิด-18
โรงเรียนไทยนิยมสงเคราะห์,ถ.พหลโยธิน แขวงอนุสาวรีย์ โทร.025210198,1005,C,2,800,มีการจัดกิจกรรมฟุตบอล บาสเกตบอล วอลเลย์บอล และสนามเด็กเล่น,กทม.,นายยุทธนา  โคตรสาร,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วอลเล่ย์บอล,ปิงปอง,สนามเด็กเล่น,แบดมินตัน,เปตอง",0,6,2564,ทางโรงเรียนไม่เปิดให้บุคคลภายนอกเข้าใช้บริการเพื่อป้องกันการแพร่ระบาดของโรคติดเชื้อไวรัสโควิด-17
ชุมชนพัชรัฐ,3257 แขวงท่าแร้ง เขตบางเขน,1005,B,1,400,มีการจัดกิจกรรมบาสเกตบอล และเครื่องออกกำลังกาย,เอกชน,นายกิตตินันท์  มาฆะวงศ์,"ฟุตบอล,บาสเกตบอล,แบดมินตัน,วิ่ง,สนามเด็กเล่น",0,6,2564,เปิดให้บริการเฉพาะประเภทกลางแจ้งเนื่องจากการแพร่ระบาดของโรคติดเชื้อไวรัสโควิด-19
หมู่บ้านรุ่งสว่างวิลเลจ,ซ.รามอินทรา 8 แขวงอนุสาวรีย์ เขตบางเขน,1005,A,1,800,ไม่มีผู้ใช้บริการเนื่องจากการแพร่ระบาดของโควิด,เอกชน,นางสาวสุดจิต  เขียวอุไร,"ฟุตบอล,บาส,แบดมินตัน,ปิงปอง,วิ่ง,สนามเด็กเล่น",0,6,2564,เปิดให้บริการเฉพาะประเภทกลางแจ้งเนื่องจากการแพร่ระบาดของโรคติดเชื้อไวรัสโควิด-19
การเคหะรามอินทรา,ถ.รามอินทรา แขวงท่าแร้ง,1005,A,1,1200,มีการจัดกิจกรรมเปตอง แอโรบิค และสนามเด็กเล่น,ให้ กทม.ใช้ประโยชน์ตามบันทึกข้อตก ลว 25 ก.ย.41,นายเสกสรรค์   พงศาสกุลโชติ,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,ตะกร้อลอดห่วง,กิจกรรม,สนามเด็กเล่น,หมากฮอส,วอลเล่ย์บอล,เปตอง",0,5,2564,ไม่มียอดผู้ใช้บริการเนื่องจากปิดสถานที่ชั่วคราวตามประกาศของกรุงเทพมหานคร
สุขใจวิลเลจ,ซ.รามอินทรา 56 แขวงท้าแร้ง,1005,A,1,1500,มีการจัดกิจกรรมฟุตบอล บาสเกตบอล และเครื่องออกกำลังกาย,เอกชน,นายยุทธชัย  อภิชัยชาญกิจ,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตัน,ปิงปอง,เกมส์/กิจกรรม,สนามเด็กเล่น,หมากรุก/หมากฮอส",0,5,2564,ไม่มียอดผู้ใช้บริการเนื่องจากปิดสถานที่ชั่วคราวตามประกาศของกรุงเทพมหานคร
โรงเรียนวัดไตรรัตนาราม,ซ.รามอินทรา 8 แขวงอนุสาวรีย์ โทร.025211289,1005,C,2,1500,มีการจัดกิจกรรมฟุตบอล บาสเกตบอล วอลเลย์บอล เทเบิลเทนนิส และสนามเด็กเล่น,กทม.,นายสมสกุล  สุขวรรณ,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วอลเล่ย์บอล,สนามเด็กเล่น,แบดมินตัน,เปตอง",0,5,2564,ไม่มียอดผู้ใช้บริการเนื่องจากปิดสถานที่ชั่วคราวตามประกาศของกรุงเทพมหานคร
เพชรสยาม,ถ.สุขาภิบาล 5 แขวงท่าแร้ง เขตบางเขน,1005,A,1,1100,มีการจัดกิจกรรมฟุตบอล และตะกร้อ,กทม.,นายพงษ์ทวี พันธ์ลำเจียก,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วิ่ง,สนามเด็กเล่น",0,5,2564,ไม่มียอดผู้ใช้บริการเนื่องจากปิดสถานที่ชั่วคราวตามประกาศของกรุงเทพมหานคร
หมู่บ้านเมธา  1,2298 ซ.  สยามธรณี  แขวงท่าแร้ง,1005,C,1,40,,เอกชน,นายเฉลิมชัย  คงสุวรรณ,"ฟุตบอล,ตะกร้อ,แบดมินตัน,วิ่ง,สนามเด็กเล่น",0,5,2564,ไม่มียอดผู้ใช้บริการเนื่องจากปิดสถานที่ชั่วคราวตามประกาศของกรุงเทพมหานคร
ชุมชนหมู่บ้านสินทรัพย์นคร ลาน 2,8510 ถ.พหลโยธิน แขวงอนุสาวรีย์,1005,C,1,150,มีการจัดกิจกรรมวอลเลย์บอล และแบดมินตัน,เอกชน มีสัญญายินยอม,นายยุทธนา  แสนละเอียด,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตัน,วิ่ง,สนามเด็กเล่น",0,5,2564,ไม่มียอดผู้ใช้บริการเนื่องจากปิดสถานที่ชั่วคราวตามประกาศของกรุงเทพมหานคร
